City,Count of Customer ID,Customer Name,Customer Segment,Sum of Discount,Year,Quarter,Month,Day,Count of Order ID,Order Priority,Count of Postal Code,Sum of Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Sum of Profit,Sum of Quantity ordered new,Region,Count of Row ID,Sum of Sales,Year,Quarter,Month,Day,Ship Mode,Sum of Shipping Cost,State or Province,Sum of Unit Price
Adrian,1,Steven Long,Consumer,0.09,2012,Qtr 1,February,3,1,Not Specified,1,0.79,Office Supplies,Small Box,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Storage & Organization,-508.87,11,Central,1,959.48,2012,Qtr 1,February,5,Express Air,19.99,Michigan,95.43
Adrian,1,Steven Long,Consumer,0.05,2012,Qtr 1,February,3,1,Not Specified,1,0.59,Office Supplies,Small Pack,Panasonic KP-150 Electric Pencil Sharpener,Pens & Art Supplies,261.72389999999996,10,Central,1,379.31,2012,Qtr 1,February,4,Express Air,2.9,Michigan,37.74
Adrian,1,Steven Long,Consumer,0.04,2013,Qtr 1,March,22,1,Medium,1,0.7,Technology,Small Box,Microsoft Natural Keyboard Elite,Computer Peripherals,107.45,7,Central,1,288.44,2013,Qtr 1,March,22,Regular Air,4,Michigan,39.98
Agawam,1,Edwin Blackburn,Small Business,0.07,2010,Qtr 3,July,26,1,Low,1,0.81,Office Supplies,Small Box,Rogers® Profile Extra Capacity Storage Tub,Storage & Organization,-114.2,5,East,1,80.58,2010,Qtr 3,August,2,Regular Air,7.04,Massachusetts,16.74
Aiken,1,Brooke Leach,Small Business,0.02,2013,Qtr 3,August,14,1,Medium,1,0.39,Office Supplies,Small Box,Large Capacity Hanging Post Binders,Binders and Binder Accessories,-106.554,5,South,1,133.53,2013,Qtr 3,August,16,Regular Air,2.99,South Carolina,24.95
Aiken,1,Brooke Leach,Small Business,0.09,2013,Qtr 3,August,14,1,Medium,1,0.37,Office Supplies,Wrap Bag,EcoTones® Memo Sheets,Paper,-680.568,11,South,1,41.49,2013,Qtr 3,August,15,Regular Air,1.3,South Carolina,4
Aiken,1,Derek Tuttle,Consumer,0.05,2011,Qtr 4,December,12,1,Not Specified,1,0.37,Office Supplies,Small Box,Staples® General Use 3-Ring Binders,Binders and Binder Accessories,117.02399999999999,15,South,1,29.07,2011,Qtr 4,December,13,Regular Air,1.49,South Carolina,1.88
Aiken,1,Derek Tuttle,Consumer,0.07,2011,Qtr 4,December,12,1,Not Specified,1,0.45,Office Supplies,Wrap Bag,"Avery Hi-Liter® EverBold™ Pen Style Fluorescent Highlighters, 4/Pack",Pens & Art Supplies,5.196,11,South,1,84.76,2011,Qtr 4,December,13,Regular Air,3.12,South Carolina,8.14
Aiken,1,Derek Tuttle,Consumer,0.08,2012,Qtr 1,March,15,1,Medium,1,0.4,Office Supplies,Wrap Bag,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Paper,8.9046,5,South,1,36.22,2012,Qtr 1,March,16,Regular Air,1.71,South Carolina,7.4
Aiken,1,Derek Tuttle,Corporate,0.09,2011,Qtr 1,March,17,1,Low,1,0.37,Office Supplies,Small Box,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Paper,-257.824,2,South,1,13.73,2011,Qtr 1,March,19,Regular Air,5.94,South Carolina,6.48
Aiken,1,Derek Tuttle,Corporate,0.05,2012,Qtr 1,February,24,1,Low,1,0.54,Office Supplies,Wrap Bag,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",Pens & Art Supplies,-21.168,11,South,1,39.51,2012,Qtr 1,February,27,Regular Air,7.49,South Carolina,3.34
Aiken,1,Derek Tuttle,Corporate,0.08,2013,Qtr 4,October,9,1,Medium,1,0.37,Office Supplies,Small Box,Xerox 217,Paper,52.5606,19,South,1,118.61,2013,Qtr 4,October,10,Regular Air,8.19,South Carolina,6.48
Akron,1,Lee Fields,Consumer,0.08,2011,Qtr 4,November,10,1,Critical,1,0.37,Office Supplies,Small Box,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Paper,583.4847,16,East,1,845.63,2011,Qtr 4,November,12,Express Air,6.79,Ohio,55.48
Akron,1,Lee Fields,Consumer,0.09,2013,Qtr 2,May,2,1,Not Specified,1,0.39,Office Supplies,Small Box,"Wilson Jones Hanging View Binder, White, 1""",Binders and Binder Accessories,-71.59899999999999,8,East,1,55.17,2013,Qtr 2,May,4,Regular Air,6.05,Ohio,7.1
Akron,1,Lee Fields,Consumer,0.02,2013,Qtr 2,May,2,1,Not Specified,1,0.6,Technology,Small Box,i2000,Telephones and Communication,251.199,6,East,1,642.29,2013,Qtr 2,May,3,Regular Air,2.5,Ohio,125.99
Akron,1,Lee Fields,Consumer,0.09,2013,Qtr 3,September,2,1,Not Specified,1,0.59,Office Supplies,Small Box,Economy Rollaway Files,Storage & Organization,-70.9228,3,East,1,479.03,2013,Qtr 3,September,3,Regular Air,19.99,Ohio,165.2
Akron,1,Lee Fields,Consumer,0.03,2013,Qtr 3,September,2,1,Not Specified,1,0.38,Office Supplies,Wrap Bag,"Quartet Alpha® White Chalk, 12/Pack",Pens & Art Supplies,12.474,24,East,1,52.49,2013,Qtr 3,September,3,Regular Air,1,Ohio,2.21
Akron,1,Lee Fields,Consumer,0.04,2013,Qtr 3,September,30,1,Not Specified,1,0.57,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.2808,14,East,1,28.87,2013,Qtr 3,September,30,Regular Air,0.7,Ohio,2.1
Akron,1,Lee Fields,Consumer,0.1,2013,Qtr 3,September,30,1,Not Specified,1,0.79,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,-78.2276,26,East,1,1733.21,2013,Qtr 4,October,1,Regular Air,4,Ohio,73.98
Alamogordo,1,Kate Glover,Small Business,0.09,2011,Qtr 4,November,8,1,Critical,1,0.4,Office Supplies,Small Box,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,376.6434,37,West,1,545.86,2011,Qtr 4,November,8,Regular Air,1.39,New Mexico,15.74
Alamogordo,1,Kate Glover,Small Business,0.08,2011,Qtr 4,November,8,1,Critical,1,0.37,Office Supplies,Small Box,Xerox 220,Paper,6.340000000000007,6,West,1,43.26,2011,Qtr 4,November,10,Regular Air,7.49,New Mexico,6.48
Alamogordo,1,Kate Glover,Small Business,0,2013,Qtr 2,May,2,1,Low,1,0.59,Office Supplies,Small Box,Decoflex Hanging Personal Folder File,Storage & Organization,31.93,15,West,1,237.65,2013,Qtr 2,May,9,Regular Air,5.41,New Mexico,15.42
Alamogordo,1,Kate Glover,Small Business,0.05,2013,Qtr 2,May,2,1,Low,1,0.38,Office Supplies,Small Box,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Binders and Binder Accessories,-7.785499999999999,1,West,1,6.32,2013,Qtr 2,May,9,Regular Air,2.99,New Mexico,5.34
Alamogordo,1,Kate Glover,Small Business,0.1,2013,Qtr 4,November,8,1,Critical,1,0.37,Technology,Medium Box,Canon MP100DHII Printing Calculator,Office Machines,3217.6425,35,West,1,4663.25,2013,Qtr 4,November,9,Regular Air,13.99,New Mexico,140.99
Alamogordo,1,Roberta Daniel,Consumer,0.08,2010,Qtr 2,May,3,1,Not Specified,1,0.49,Furniture,Small Box,"6"" Cubicle Wall Clock, Black",Office Furnishings,-88.82,10,West,1,80.35,2010,Qtr 2,May,4,Regular Air,7.96,New Mexico,8.09
Alamogordo,1,Roberta Daniel,Consumer,0.04,2013,Qtr 1,February,23,1,Medium,1,0.6,Furniture,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,2814.0822,8,West,1,4078.38,2013,Qtr 1,February,26,Delivery Truck,26,New Mexico,500.98
Alamogordo,1,Roberta Daniel,Consumer,0.04,2013,Qtr 1,February,23,1,Medium,1,0.35,Office Supplies,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,-5.45,7,West,1,81.44,2013,Qtr 1,February,24,Express Air,6.97,New Mexico,11.58
Albany,1,Brenda Gonzalez,Corporate,0.03,2011,Qtr 2,April,24,1,Critical,1,0.66,Furniture,Jumbo Box,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Bookcases,583.15,9,East,1,1576.52,2011,Qtr 2,April,25,Delivery Truck,35.89,New York,170.98
Albany,1,Brenda Gonzalez,Corporate,0,2011,Qtr 2,April,24,1,Critical,1,0.58,Technology,Medium Box,1726 Digital Answering Machine,Telephones and Communication,-52.239000000000004,3,East,1,57.96,2011,Qtr 2,April,26,Regular Air,4.81,New York,20.99
Albany,1,Edward Maxwell,Small Business,0.03,2012,Qtr 4,December,3,1,Critical,1,0.6,Office Supplies,Large Box,Hoover Portapower™ Portable Vacuum,Appliances,-376.065,9,West,1,67.01,2012,Qtr 4,December,5,Regular Air,49,Oregon,4.48
Albany,1,Edward Maxwell,Small Business,0.02,2013,Qtr 3,July,13,1,Not Specified,1,0.58,Office Supplies,Small Box,Eureka The Boss® Cordless Rechargeable Stick Vac,Appliances,385.95712000000003,17,West,1,896.63,2013,Qtr 3,July,15,Regular Air,13.66,Oregon,50.98
Albany,1,John Ellington,Home Office,0.09,2012,Qtr 2,June,29,1,Low,1,0.4,Office Supplies,Small Box,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,Binders and Binder Accessories,-7.755599999999999,1,West,1,11.08,2012,Qtr 3,July,6,Regular Air,5.59,Oregon,5.8
Albany,1,Kelly Beatty,Home Office,0.1,2012,Qtr 4,November,2,1,Critical,1,0.55,Technology,Small Box,6162i,Telephones and Communication,1446.4494,39,West,1,2106.63,2012,Qtr 4,November,2,Regular Air,4.2,Oregon,65.99
Albany,1,Neil Waller,Consumer,0.1,2013,Qtr 4,November,23,1,Medium,1,0.71,Furniture,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,41.713600000000014,1,East,1,129.88,2013,Qtr 4,November,24,Delivery Truck,30,New York,110.98
Albany,1,Sam Maynard,Corporate,0.08,2011,Qtr 1,February,27,1,Low,1,0.39,Office Supplies,Small Box,"Wilson Jones Hanging View Binder, White, 1""",Binders and Binder Accessories,415.8378000000001,5,South,1,36.54,2011,Qtr 1,February,27,Regular Air,6.05,Georgia,7.1
Albany,1,Sam Maynard,Corporate,0.05,2011,Qtr 4,October,12,1,Critical,1,0.6,Office Supplies,Large Box,Hoover Portapower™ Portable Vacuum,Appliances,472.9752,4,South,1,40.16,2011,Qtr 4,October,14,Regular Air,49,Georgia,4.48
Albany,1,Sam Maynard,Corporate,0.04,2011,Qtr 4,October,12,1,Critical,1,0.65,Technology,Small Box,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,253.13579999999996,18,South,1,372.02,2011,Qtr 4,October,13,Regular Air,5.99,Georgia,20.95
Albemarle,1,Monica McCormick,Corporate,0.06,2010,Qtr 4,December,18,1,Critical,1,0.39,Office Supplies,Small Box,Xerox 1929,Paper,7.4399999999999995,20,South,1,461.94,2010,Qtr 4,December,20,Regular Air,5.47,North Carolina,22.84
Albemarle,1,Monica McCormick,Corporate,0.04,2010,Qtr 4,December,18,1,Critical,1,0.37,Technology,Small Box,Logitech Access Keyboard,Computer Peripherals,-19.208000000000002,4,South,1,64.59,2010,Qtr 4,December,19,Regular Air,4,North Carolina,15.98
Albemarle,1,Monica McCormick,Corporate,0.07,2013,Qtr 3,September,4,1,Not Specified,1,0.78,Furniture,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,Tables,-32.48,23,South,1,5082.26,2013,Qtr 3,September,6,Delivery Truck,61.76,North Carolina,286.85
Albuquerque,1,Francis Kendall,Home Office,0,2010,Qtr 3,August,19,1,Not Specified,1,0.36,Office Supplies,Small Box,Wausau Papers Astrobrights® Colored Envelopes,Envelopes,9.5608,5,West,1,31.64,2010,Qtr 3,August,20,Regular Air,2.5,New Mexico,5.98
Albuquerque,1,Francis Kendall,Home Office,0.1,2010,Qtr 3,August,19,1,Not Specified,1,0.55,Technology,Small Box,Accessory35,Telephones and Communication,390.09839999999997,19,West,1,565.36,2010,Qtr 3,August,20,Express Air,1.1,New Mexico,35.99
Albuquerque,1,Francis Kendall,Home Office,0.07,2010,Qtr 3,August,19,1,Not Specified,1,0.42,Technology,Small Pack,"Memorex 4.7GB DVD-RAM, 3/Pack",Computer Peripherals,265.1118,13,West,1,384.22,2010,Qtr 3,August,21,Regular Air,1.99,New Mexico,31.78
Albuquerque,1,Francis Kendall,Home Office,0.1,2011,Qtr 3,July,4,1,High,1,0.35,Office Supplies,Small Box,Vinyl Sectional Post Binders,Binders and Binder Accessories,286.55699999999996,12,West,1,415.3,2011,Qtr 3,July,6,Regular Air,2.99,New Mexico,37.7
Albuquerque,1,Francis Kendall,Home Office,0,2013,Qtr 4,October,21,1,Critical,1,0.47,Furniture,Small Pack,Magna Visual Magnetic Picture Hangers,Office Furnishings,-106.27,18,West,1,94.04,2013,Qtr 4,October,23,Regular Air,5.72,New Mexico,4.82
Albuquerque,1,Lauren West,Corporate,0.1,2011,Qtr 3,July,28,1,High,1,0.35,Office Supplies,Small Box,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Envelopes,-13.74,1,West,1,15,2011,Qtr 3,July,30,Regular Air,5.76,New Mexico,9.78
Albuquerque,1,Lauren West,Corporate,0.07,2011,Qtr 3,August,30,1,Critical,1,0.41,Furniture,Small Box,Staples Plastic Wall Frames,Office Furnishings,-19.115199999999998,16,West,1,121.89,2011,Qtr 3,August,31,Regular Air,4.95,New Mexico,7.96
Albuquerque,1,Lauren West,Corporate,0.03,2011,Qtr 3,August,30,1,Critical,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-34.510580000000004,18,West,1,140.67,2011,Qtr 3,August,31,Express Air,6.16,New Mexico,7.68
Albuquerque,1,Lauren West,Corporate,0.06,2011,Qtr 3,September,4,1,Medium,1,0.54,Office Supplies,Wrap Bag,"Advantus Push Pins, Aluminum Head",Rubber Bands,-47.15,21,West,1,120.78,2011,Qtr 3,September,5,Regular Air,3.37,New Mexico,5.81
Albuquerque,1,Lauren West,Corporate,0.08,2012,Qtr 3,September,10,1,Critical,1,0.56,Furniture,Jumbo Drum,"Global Deluxe Stacking Chair, Gray",Chairs & Chairmats,-69.66,1,West,1,53.51,2012,Qtr 3,September,12,Delivery Truck,14.19,New Mexico,50.98
Albuquerque,1,Lauren West,Corporate,0.04,2013,Qtr 1,January,8,1,High,1,0.66,Furniture,Jumbo Box,Global Adaptabilities™ Conference Tables,Tables,146.072,4,West,1,1099.94,2013,Qtr 1,January,9,Delivery Truck,35.67,New Mexico,280.98
Albuquerque,1,Lauren West,Corporate,0.01,2013,Qtr 1,January,8,1,High,1,0.58,Furniture,Large Box,Tensor Computer Mounted Lamp,Office Furnishings,-73.9536,4,West,1,64.94,2013,Qtr 1,January,9,Regular Air,13.56,New Mexico,14.89
Albuquerque,1,Lauren West,Home Office,0.08,2012,Qtr 2,April,22,1,Low,1,0.55,Furniture,Large Box,"Dana Fluorescent Magnifying Lamp, White, 36""",Office Furnishings,25.68,14,West,1,682.55,2012,Qtr 2,April,26,Regular Air,22.24,New Mexico,50.98
Albuquerque,1,Lauren West,Home Office,0.1,2012,Qtr 3,July,21,1,Low,1,0.65,Furniture,Jumbo Box,Bush Mission Pointe Library,Bookcases,-865.88,10,West,1,1449.61,2012,Qtr 3,July,25,Delivery Truck,66.27,New Mexico,150.98
Albuquerque,1,Lauren West,Home Office,0.02,2013,Qtr 1,January,18,1,High,1,0.39,Office Supplies,Small Box,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,40.31686,8,West,1,73.04,2013,Qtr 1,January,19,Regular Air,2.99,New Mexico,8.69
Albuquerque,1,Lauren West,Home Office,0.02,2013,Qtr 4,November,24,1,Medium,1,0.57,Furniture,Jumbo Drum,Bevis Steel Folding Chairs,Chairs & Chairmats,707.0292800000002,41,West,1,4077.22,2013,Qtr 4,November,26,Delivery Truck,74.35,New Mexico,95.95
Albuquerque,1,Lauren West,Home Office,0.08,2013,Qtr 4,November,24,1,Medium,1,0.36,Office Supplies,Small Box,Xerox 1983,Paper,29.94192000000001,26,West,1,150.8,2013,Qtr 4,November,25,Regular Air,5.46,New Mexico,5.98
Albuquerque,1,Marvin Butler,Consumer,0.09,2013,Qtr 1,February,23,1,Low,1,0.56,Furniture,Jumbo Drum,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Tables,-1296.93,12,West,1,1011.56,2013,Qtr 1,February,25,Delivery Truck,60,New Mexico,85.29
Alexandria,1,Andrea Barr,Corporate,0.1,2011,Qtr 4,October,5,1,Low,1,0.6,Office Supplies,Small Box,Hanging Personal Folder File,Storage & Organization,-197.42800000000003,3,South,1,48.02,2011,Qtr 4,October,12,Regular Air,11.25,Louisiana,15.7
Alexandria,1,Carol Wood,Consumer,0.06,2010,Qtr 2,June,1,1,Not Specified,1,0.38,Office Supplies,Small Box,Avery 482,Labels,-2.0097,6,South,1,16.67,2010,Qtr 2,June,3,Regular Air,0.99,Virginia,2.89
Alexandria,1,Carol Wood,Consumer,0.08,2010,Qtr 2,June,1,1,Not Specified,1,0.39,Office Supplies,Small Box,Xerox 1964,Paper,-477.37200000000007,9,South,1,195.16,2010,Qtr 2,June,3,Regular Air,11.54,Virginia,22.84
Alexandria,1,George McLamb,Consumer,0.07,2010,Qtr 2,June,30,1,Not Specified,1,0.59,Office Supplies,Small Box,X-Rack™ File for Hanging Folders,Storage & Organization,-163.03,11,South,1,123.18,2010,Qtr 3,July,2,Regular Air,5.03,Virginia,11.29
Alexandria,1,George McLamb,Consumer,0.02,2010,Qtr 4,December,7,1,Low,1,0.59,Office Supplies,Small Box,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Appliances,23.61599999999995,21,South,1,1533.59,2010,Qtr 4,December,14,Regular Air,3.5,Virginia,70.97
Alexandria,1,George McLamb,Consumer,0.09,2011,Qtr 2,April,3,1,High,1,0.79,Office Supplies,Small Box,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Storage & Organization,-1356.6677124000003,8,South,1,699.89,2011,Qtr 2,April,4,Regular Air,19.99,Virginia,95.43
Alexandria,1,George McLamb,Consumer,0,2013,Qtr 1,February,8,1,Medium,1,0.57,Technology,Small Box,2180,Telephones and Communication,-5.32,13,South,1,2003.03,2013,Qtr 1,February,9,Regular Air,8.99,Virginia,175.99
Alexandria,1,George McLamb,Consumer,0.06,2013,Qtr 2,May,4,1,Medium,1,0.56,Technology,Small Box,TimeportP7382,Telephones and Communication,-876.5120000000001,2,South,1,352.21,2013,Qtr 2,May,5,Regular Air,8.99,Virginia,205.99
Alexandria,1,Ray Cook,Consumer,0.02,2012,Qtr 2,June,11,1,Critical,1,0.66,Furniture,Jumbo Drum,"Global Leather Task Chair, Black",Chairs & Chairmats,893.88,3,South,1,290.9,2012,Qtr 2,June,13,Delivery Truck,42,Louisiana,89.99
Alexandria,1,Ray Cook,Consumer,0.06,2012,Qtr 2,June,11,1,Critical,1,0.56,Office Supplies,Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,"Scissors, Rulers and Trimmers",182.51999999999998,11,South,1,100.84,2012,Qtr 2,June,14,Regular Air,3.98,Louisiana,9.31
Alexandria,1,Ray Cook,Corporate,0.04,2012,Qtr 1,February,26,1,Medium,1,0.38,Office Supplies,Small Box,Xerox 1932,Paper,610.116,3,South,1,110.6,2012,Qtr 1,February,27,Regular Air,5.09,Louisiana,35.44
Allen,1,Ronnie Shaffer,Home Office,0.08,2013,Qtr 2,April,1,1,Not Specified,1,0.52,Office Supplies,Wrap Bag,"Binney & Smith Crayola® Metallic Colored Pencils, 8-Color Set",Pens & Art Supplies,-7.08,9,Central,1,39.6,2013,Qtr 2,April,3,Regular Air,1.93,Texas,4.63
Allen,1,Ronnie Shaffer,Small Business,0.02,2013,Qtr 1,January,20,1,High,1,0.65,Furniture,Jumbo Box,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,-284.9396,7,Central,1,1029.34,2013,Qtr 1,January,23,Delivery Truck,53.48,Texas,140.98
Allen,1,Ronnie Shaffer,Small Business,0.08,2013,Qtr 2,May,8,1,Critical,1,0.56,Office Supplies,Wrap Bag,Newell 321,Pens & Art Supplies,-21.4,6,Central,1,19.64,2013,Qtr 2,May,9,Regular Air,2.31,Texas,3.28
Allen,1,Ronnie Shaffer,Small Business,0.1,2013,Qtr 2,May,14,1,High,1,0.5,Technology,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Computer Peripherals,200.76239999999996,10,Central,1,290.96,2013,Qtr 2,May,17,Express Air,1.99,Texas,29.89
Allen Park,1,Chad Campbell,Corporate,0.08,2013,Qtr 1,March,18,1,Critical,1,0.6,Technology,Small Box,I888 World Phone,Telephones and Communication,257.76,5,Central,1,658.71,2013,Qtr 1,March,20,Regular Air,8.08,Michigan,155.99
Allen Park,1,Kristina Collier,Consumer,0.01,2010,Qtr 1,January,26,1,High,1,0.38,Office Supplies,Small Box,Avery 498,Labels,1.2236,1,Central,1,3.08,2010,Qtr 1,January,28,Regular Air,0.5,Michigan,2.89
Allen Park,1,Kristina Collier,Consumer,0.01,2010,Qtr 3,August,10,1,Critical,1,0.37,Office Supplies,Small Box,Xerox 1894,Paper,-15.6312,9,Central,1,69.46,2010,Qtr 3,August,11,Express Air,6.22,Michigan,6.48
