City Name,Customer ID,Customer Name,Customer Segment,Sum of Discount,First Name,Manager Performance Class,Year,Quarter,Month,Day,Count of Order ID,Product Category,Product Container,Product Name,Product Sub-Category,Sum of Profit,Region Code,Sum of Sales,Year,Quarter,Month,Day,Ship Mode,Sum of Shipping Cost,State,Sum of Unit Price,Count of Zip Code
Anaheim,2400,Anita Boyle,Consumer,0.02,William,Low,2013,Qtr 1,January,16,1,Office Supplies,Small Box,Sterilite Officeware Hinged File Box,Storage & Organization,-134.168,WEST,105.65,2013,Qtr 1,January,16,Regular Air,6.91,California,10.48,1
Anaheim,2400,Anita Boyle,Corporate,0.05,William,Low,2013,Qtr 3,July,21,1,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-87.81648000000001,WEST,71.71,2013,Qtr 3,July,22,Regular Air,5.66,California,5.28,1
Anaheim,2400,Anita Boyle,Corporate,0.03,William,Low,2013,Qtr 3,July,21,1,Technology,Jumbo Box,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Office Machines,469.9616,WEST,1200.38,2013,Qtr 3,July,23,Delivery Truck,30.06,California,80.97,1
Anaheim,2400,Anita Boyle,Corporate,0.08,William,Low,2013,Qtr 4,October,16,1,Office Supplies,Small Pack,Boston 16801 Nautilus™ Battery Pencil Sharpener,Pens & Art Supplies,4.75,WEST,192.46,2013,Qtr 4,October,16,Regular Air,5.53,California,22.01,1
Antioch,2401,Tommy Morse Brown,Consumer,0.06,William,Low,2012,Qtr 2,June,22,1,Furniture,Small Pack,Nu-Dell Executive Frame,Office Furnishings,-14.712,WEST,14.49,2012,Qtr 2,June,23,Regular Air,4.98,California,12.64,1
Antioch,2529,Francis McKenzie,Small Business,0.05,William,Low,2011,Qtr 3,September,3,1,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes,-32.35,WEST,28.46,2011,Qtr 3,September,5,Regular Air,8.29,California,8.74,1
Apopka,1206,Dana Jain,Small Business,0.04,Sam,Low,2011,Qtr 1,January,6,1,Furniture,Small Box,Contemporary Wood/Metal Frame,Office Furnishings,-73.9795,SOUTH,115.89,2011,Qtr 1,January,7,Regular Air,7.74,Florida,16.16,1
Apopka,1206,Dana Jain,Small Business,0.02,Sam,Low,2011,Qtr 3,September,30,1,Office Supplies,Small Box,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Envelopes,96.012,SOUTH,1022.42,2011,Qtr 4,October,3,Regular Air,19.99,Florida,60.98,1
Apopka,1206,Dana Jain,Small Business,0.04,Sam,Low,2011,Qtr 3,September,30,1,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,1229.1779999999999,SOUTH,250.22,2011,Qtr 4,October,2,Regular Air,2.36,Florida,11.55,1
Apopka,1206,Dana Jain,Small Business,0.07,Sam,Low,2013,Qtr 1,January,6,1,Office Supplies,Small Box,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Binders and Binder Accessories,-30.478,SOUTH,31.86,2013,Qtr 1,January,8,Regular Air,5.42,Florida,4.57,1
Apopka,1206,Dana Jain,Small Business,0.09,Sam,Low,2013,Qtr 3,August,1,1,Office Supplies,Wrap Bag,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Paper,36.942,SOUTH,23.81,2013,Qtr 3,August,3,Regular Air,2.87,Florida,8.01,1
Apopka,1206,Dana Jain,Small Business,0.1,Sam,Low,2013,Qtr 3,August,1,1,Technology,Small Box,Talkabout T8097,Telephones and Communication,266.11199999999997,SOUTH,636.63,2013,Qtr 3,August,2,Regular Air,8.99,Florida,205.99,1
Apopka,1206,Dana Jain,Small Business,0.02,Sam,Low,2013,Qtr 3,September,15,1,Furniture,Medium Box,Eldon Advantage® Foldable Chair Mats for Low Pile Carpets,Office Furnishings,32.777699999999996,SOUTH,1357.19,2013,Qtr 3,September,16,Regular Air,11.1,Florida,54.2,1
Apple Valley,2530,Janet Zhang,Small Business,0.04,William,Low,2010,Qtr 1,March,29,1,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,-89.5,WEST,277.07,2010,Qtr 1,March,30,Regular Air,6.5,California,40.98,1
Apple Valley,2530,Janet Zhang,Small Business,0.06,William,Low,2011,Qtr 2,May,17,1,Office Supplies,Large Box,Tennsco Regal Shelving Units,Storage & Organization,-253.38,WEST,216.09,2011,Qtr 2,May,19,Regular Air,35,California,101.41,1
Apple Valley,2530,Janet Zhang,Small Business,0.06,William,Low,2011,Qtr 2,May,17,1,Office Supplies,Small Pack,Sanford 52201 APSCO Electric Pencil Sharpener,Pens & Art Supplies,196.58,WEST,664.5,2011,Qtr 2,May,17,Regular Air,8.99,California,40.97,1
Apple Valley,2530,Janet Zhang,Small Business,0.01,William,Low,2011,Qtr 2,May,17,1,Technology,Small Pack,Accessory32,Telephones and Communication,526.6563,WEST,763.27,2011,Qtr 2,May,19,Regular Air,1.25,California,55.99,1
Asbury Park,1011,Denise Sumner,Home Office,0.07,Erin,Low,2013,Qtr 3,July,2,1,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-25.92816,EAST,14.17,2013,Qtr 3,July,6,Regular Air,8.99,New Jersey,11.66,1
Asbury Park,1221,Vickie Frost,Small Business,0.01,Erin,Low,2011,Qtr 2,May,8,1,Office Supplies,Small Box,Smead Adjustable Mobile File Trolley with Lockable Top,Storage & Organization,-259.01,EAST,423.3,2011,Qtr 2,May,9,Regular Air,19.99,New Jersey,419.19,1
Asbury Park,1861,Melissa McCullough,Home Office,0.02,Erin,Low,2012,Qtr 1,January,29,1,Office Supplies,Small Box,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,25.361959999999996,EAST,230.16,2012,Qtr 1,January,31,Regular Air,12.98,New Jersey,24.92,1
Atascadero,883,Alex Harding,Consumer,0.02,William,Low,2013,Qtr 3,September,20,1,Furniture,Large Box,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Office Furnishings,-28.621199999999998,WEST,74.76,2013,Qtr 3,September,22,Regular Air,12.39,California,16.98,1
Atascadero,883,Alex Harding,Home Office,0,William,High,2011,Qtr 3,September,15,1,Technology,Large Box,Sharp AL-1530CS Digital Copier,Copiers and Fax,-1312.84,WEST,10933.47,2011,Qtr 3,September,22,Express Air,24.49,California,499.99,1
Atascadero,883,Alex Harding,Home Office,0.02,William,Low,2012,Qtr 3,July,5,1,Furniture,Jumbo Box,Bretford CR8500 Series Meeting Room Furniture,Tables,2.45,WEST,5.81,2012,Qtr 3,July,7,Regular Air,0.5,California,2.88,1
Atascadero,883,Alex Harding,Home Office,0.03,William,Low,2013,Qtr 4,October,27,1,Furniture,Small Box,Eldon Expressions Mahogany Wood Desk Collection,Office Furnishings,-530.68,WEST,1268.16,2013,Qtr 4,October,28,Regular Air,35,California,113.64,1
Atascadero,883,Alex Harding,Home Office,0.01,William,Medium,2013,Qtr 4,November,14,1,Technology,Medium Box,Canon MP100DHII Printing Calculator,Office Machines,4472.649,WEST,6482.1,2013,Qtr 4,November,14,Regular Air,13.99,California,140.99,1
Atascadero,2531,Rick Houston,Small Business,0.08,William,Low,2010,Qtr 2,May,2,1,Office Supplies,Wrap Bag,EcoTones® Memo Sheets,Paper,28.4,WEST,51.99,2010,Qtr 2,May,4,Regular Air,1.3,California,4,1
Atascadero,2531,Rick Houston,Small Business,0.03,William,Low,2011,Qtr 1,February,24,1,Office Supplies,Small Box,UniKeep™ View Case Binders,Binders and Binder Accessories,-132.2615,WEST,45.49,2011,Qtr 1,February,26,Regular Air,6.07,California,4.89,1
Atascadero,2531,Rick Houston,Small Business,0.05,William,Low,2011,Qtr 2,April,10,1,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-248.78,WEST,426.93,2011,Qtr 2,April,12,Delivery Truck,52.2,California,212.6,1
Atascadero,2531,Rick Houston,Small Business,0.05,William,Low,2013,Qtr 1,January,26,1,Office Supplies,Small Box,Xerox 191,Paper,0.14439999999999828,WEST,21.48,2013,Qtr 1,January,27,Regular Air,5.86,California,19.98,1
Atascadero,2531,Rick Houston,Small Business,0.05,William,Low,2013,Qtr 2,May,2,1,Technology,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Computer Peripherals,277.0419,WEST,401.51,2013,Qtr 2,May,3,Regular Air,1.99,California,29.89,1
Atascadero,2531,Rick Houston,Small Business,0,William,Low,2013,Qtr 4,December,26,1,Office Supplies,Wrap Bag,"Advantus Push Pins, Aluminum Head",Rubber Bands,-12.00864,WEST,130.82,2013,Qtr 4,December,26,Regular Air,3.37,California,5.81,1
Atlantic City,1274,Christina McNeill,Corporate,0.02,Erin,Low,2012,Qtr 1,March,21,1,Technology,Small Box,StarTAC 7760,Telephones and Communication,-165.62699999999998,EAST,116.54,2012,Qtr 1,March,23,Regular Air,3.99,New Jersey,65.99,1
Atlantic City,1583,Evan Shore,Corporate,0,Erin,Medium,2011,Qtr 3,September,12,1,Technology,Medium Box,"Polycom Soundstation EX Audio-Conferencing Telephone, Black",Office Machines,6644.6379,EAST,9629.91,2011,Qtr 3,September,16,Regular Air,13.99,New Jersey,999.99,1
Auburn,393,Shawn Combs,Corporate,0.07,Erin,Low,2010,Qtr 1,February,15,1,Office Supplies,Small Box,Filing/Storage Totes and Swivel Casters,Storage & Organization,-81.77,EAST,31.44,2010,Qtr 1,February,22,Regular Air,9.45,New York,9.71,1
Auburn,393,Shawn Combs,Corporate,0.09,Erin,Low,2011,Qtr 1,January,20,1,Technology,Jumbo Drum,Panasonic KX-P1131 Dot Matrix Printer,Office Machines,-716.0750759999999,EAST,250.78,2011,Qtr 1,January,21,Delivery Truck,17.86,New York,264.98,1
Auburn,393,Shawn Combs,Corporate,0.04,Erin,Low,2011,Qtr 2,May,14,1,Furniture,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Office Furnishings,899.7048,EAST,1303.92,2011,Qtr 2,May,15,Express Air,8.99,New York,99.23,1
Auburn,393,Shawn Combs,Corporate,0.04,Erin,Low,2012,Qtr 2,April,28,1,Technology,Small Pack,Accessory8,Telephones and Communication,-315.326,EAST,70.17,2012,Qtr 2,April,28,Regular Air,1.25,New York,85.99,1
Auburn,393,Shawn Combs,Corporate,0.01,Erin,Low,2013,Qtr 2,April,30,1,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,-171.92,EAST,335.92,2013,Qtr 2,May,1,Delivery Truck,58.95,New York,320.98,1
Auburn,393,Shawn Combs,Corporate,0.04,Erin,Low,2013,Qtr 3,July,2,1,Office Supplies,Small Box,Avery 51,Labels,29.504399999999997,EAST,42.76,2013,Qtr 3,July,3,Regular Air,0.5,New York,6.3,1
Avenel,791,Samuel Moss,Corporate,0.04,Erin,Low,2012,Qtr 1,February,25,1,Office Supplies,Small Box,Xerox 1984,Paper,-16.38,EAST,10.22,2012,Qtr 1,February,27,Express Air,8.74,New Jersey,6.48,1
Avenel,1188,Kevin Marks,Consumer,0.03,Erin,Low,2011,Qtr 2,June,10,1,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,-68.9568,EAST,71.41,2011,Qtr 2,June,11,Regular Air,5.03,New Jersey,7.99,1
Avondale,2698,Bruce Adcock,Home Office,0.01,William,Low,2011,Qtr 2,April,11,1,Office Supplies,Small Box,Self-Adhesive Address Labels for Typewriters by Universal,Labels,53.93039999999999,WEST,78.16,2011,Qtr 2,April,15,Regular Air,0.49,Arizona,7.31,1
Avondale,2698,Bruce Adcock,Home Office,0.06,William,Low,2011,Qtr 2,April,11,1,Office Supplies,Wrap Bag,Riverleaf Stik-Withit® Designer Note Cubes®,Paper,79.45349999999999,WEST,115.15,2011,Qtr 2,April,15,Regular Air,2.06,Arizona,10.06,1
Avondale,2698,Bruce Adcock,Small Business,0.08,William,Low,2013,Qtr 1,January,15,1,Office Supplies,Small Box,Staples Colored Bar Computer Paper,Paper,296.3067,WEST,429.43,2013,Qtr 1,January,16,Regular Air,4.92,Arizona,35.44,1
Bakersfield,2647,Teresa Bishop,Corporate,0.01,William,Low,2010,Qtr 3,September,17,1,Furniture,Wrap Bag,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Office Furnishings,117.52079999999998,WEST,170.32,2010,Qtr 3,September,19,Regular Air,9.2,California,39.98,1
Bakersfield,2647,Teresa Bishop,Corporate,0.1,William,Low,2010,Qtr 3,September,17,1,Office Supplies,Small Box,Staples Surge Protector 6 outlet,Appliances,-21.03,WEST,52.21,2010,Qtr 3,September,24,Regular Air,3.99,California,10.98,1
Bakersfield,2647,Teresa Bishop,Corporate,0.01,William,Low,2011,Qtr 3,August,3,1,Office Supplies,Small Box,"Avery® Durable Plastic 1"" Binders",Binders and Binder Accessories,-39.83278,WEST,48.5,2011,Qtr 3,August,4,Regular Air,5.83,California,4.54,1
Bakersfield,2652,Brenda Ross,Consumer,0.06,William,Low,2010,Qtr 2,May,25,1,Office Supplies,Small Box,Xerox 1938,Paper,21.78,WEST,94.2,2010,Qtr 2,May,27,Regular Air,5.86,California,47.9,1
Bakersfield,2652,Brenda Ross,Consumer,0.1,William,Low,2012,Qtr 1,January,8,1,Technology,Small Pack,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,-172.79399999999998,WEST,46.34,2012,Qtr 1,January,12,Regular Air,4.93,California,4.89,1
Bakersfield,2652,Brenda Ross,Consumer,0.02,William,Low,2013,Qtr 2,April,20,1,Office Supplies,Small Box,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage & Organization,175.32,WEST,285.48,2013,Qtr 2,April,21,Regular Air,8.22,California,34.76,1
Bakersfield,2652,Brenda Ross,Consumer,0.03,William,Low,2013,Qtr 3,August,19,1,Furniture,Jumbo Box,"Bevis Round Conference Table Top, X-Base",Tables,144.31431999999998,WEST,3145.43,2013,Qtr 3,August,24,Delivery Truck,29.21,California,179.29,1
Bayonne,947,Dorothy Buchanan,Home Office,0.08,Erin,Low,2010,Qtr 3,July,11,1,Furniture,Wrap Bag,Coloredge Poster Frame,Office Furnishings,27.23,EAST,72.11,2010,Qtr 3,July,13,Express Air,5.3,New Jersey,14.2,1
Bayonne,997,Phillip Pollard,Small Business,0.08,Erin,Low,2010,Qtr 1,January,24,1,Office Supplies,Small Box,Fellowes Command Center 5-outlet power strip,Appliances,-23.6344,EAST,63.66,2010,Qtr 1,January,29,Regular Air,0.99,New Jersey,67.84,1
Belle Glade,897,Daniel Sigmon,Small Business,0.1,Sam,Low,2013,Qtr 2,April,2,1,Office Supplies,Small Box,"Tenex Personal Project File with Scoop Front Design, Black",Storage & Organization,-65.814,SOUTH,141.25,2013,Qtr 2,April,4,Regular Air,4.51,Florida,13.48,1
Belle Glade,1038,Jon Hale,Corporate,0.1,Sam,Low,2010,Qtr 4,December,16,1,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,-403.18739999999997,SOUTH,39.36,2010,Qtr 4,December,17,Regular Air,5.83,Florida,7.64,1
Belle Glade,1038,Jon Hale,Corporate,0.08,Sam,Low,2011,Qtr 2,June,21,1,Office Supplies,Small Box,Avery 520,Labels,-3.9928,SOUTH,40.76,2011,Qtr 2,June,23,Regular Air,0.5,Florida,3.15,1
Belle Glade,1038,Jon Hale,Corporate,0.05,Sam,Low,2011,Qtr 2,June,21,1,Office Supplies,Small Box,GBC Standard Plastic Binding Systems' Combs,Binders and Binder Accessories,-85.106,SOUTH,20.63,2011,Qtr 2,June,24,Regular Air,5.36,Florida,6.28,1
Belle Glade,1038,Jon Hale,Corporate,0.06,Sam,Low,2011,Qtr 2,June,21,1,Office Supplies,Small Box,Security-Tint Envelopes,Envelopes,73.458,SOUTH,22.14,2011,Qtr 2,June,23,Regular Air,1.39,Florida,7.64,1
Belle Glade,1038,Jon Hale,Corporate,0.03,Sam,Low,2013,Qtr 1,March,5,1,Office Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,Pens & Art Supplies,-76.307,SOUTH,89.67,2013,Qtr 1,March,6,Regular Air,8.99,Florida,21.38,1
Belle Glade,1038,Jon Hale,Corporate,0.06,Sam,Low,2013,Qtr 1,March,5,1,Technology,Jumbo Drum,Canon PC940 Copier,Copiers and Fax,3735.2159999999994,SOUTH,4978.6,2013,Qtr 1,March,7,Delivery Truck,49,Florida,449.99,1
Belleville,282,Vickie Andrews,Corporate,0.03,Erin,Low,2010,Qtr 2,May,21,1,Technology,Small Pack,Accessory36,Telephones and Communication,-221.254,EAST,416.95,2010,Qtr 2,May,22,Regular Air,5,New Jersey,55.99,1
Belleville,439,Jay Parker,Corporate,0.08,Erin,Low,2013,Qtr 4,December,9,1,Technology,Small Pack,"IBM 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,209.5668,EAST,303.72,2013,Qtr 4,December,13,Regular Air,1.99,New Jersey,20.89,1
Bergenfield,2602,Leah Phillips,Corporate,0.03,Erin,Low,2011,Qtr 4,December,25,1,Office Supplies,Small Box,Southworth 25% Cotton Premium Laser Paper and Envelopes,Paper,248.19,EAST,431.3,2011,Qtr 4,December,27,Regular Air,8.68,New Jersey,19.98,1
Bergenfield,3292,Clarence Davis,Corporate,0.05,Erin,Low,2012,Qtr 1,March,4,1,Office Supplies,Small Box,Xerox 226,Paper,-41.99,EAST,33.55,2012,Qtr 1,March,7,Regular Air,5.84,New Jersey,6.48,1
Berkeley,3048,Tracy G Starr,Corporate,0.06,William,Low,2010,Qtr 3,September,5,1,Furniture,Large Box,SAFCO Arco Folding Chair,Chairs & Chairmats,1167.38,WEST,2610.56,2010,Qtr 3,September,7,Express Air,24.49,California,276.2,1
Berkeley,3048,Tracy G Starr,Corporate,0.08,William,Low,2011,Qtr 1,March,4,1,Office Supplies,Small Box,Xerox 1933,Paper,31.54,WEST,61.66,2011,Qtr 1,March,11,Regular Air,4.86,California,12.28,1
Berkeley,3048,Tracy G Starr,Corporate,0.09,William,Low,2012,Qtr 1,February,6,1,Furniture,Small Pack,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Office Furnishings,60.5682,WEST,87.78,2012,Qtr 1,February,7,Express Air,3.92,California,30.93,1
Berkeley,3048,Tracy G Starr,Corporate,0.09,William,Low,2012,Qtr 2,May,1,1,Furniture,Jumbo Box,Bretford CR4500 Series Slim Rectangular Table,Tables,298.83,WEST,1663.19,2012,Qtr 2,May,3,Delivery Truck,40.19,California,348.21,1
Berkeley,3048,Tracy G Starr,Corporate,0.09,William,Low,2013,Qtr 3,September,5,1,Office Supplies,Wrap Bag,Newell 346,Pens & Art Supplies,3.0348,WEST,22.79,2013,Qtr 3,September,7,Regular Air,0.7,California,2.88,1
Berkeley,3208,Jackie Wu,Corporate,0.06,William,Low,2011,Qtr 4,November,19,1,Furniture,Small Pack,Ultra Door Pull Handle,Office Furnishings,0.7560000000000007,WEST,113.42,2011,Qtr 4,November,21,Regular Air,7.94,California,10.52,1
Berkeley,3208,Jackie Wu,Corporate,0.04,William,Low,2011,Qtr 4,November,19,1,Office Supplies,Small Box,Desktop 3-Pocket Hot File®,Storage & Organization,13.978000000000009,WEST,238.28,2011,Qtr 4,November,19,Regular Air,19.99,California,54.1,1
Berkeley,3208,Jackie Wu,Corporate,0.02,William,Low,2012,Qtr 1,February,15,1,Technology,Jumbo Box,Hewlett-Packard 2600DN Business Color Inkjet Printer,Office Machines,239.41,WEST,1335.2,2012,Qtr 1,February,17,Delivery Truck,56.14,California,119.99,1
Berkeley,3208,Jackie Wu,Corporate,0.09,William,Low,2012,Qtr 4,December,18,1,Technology,Small Box,R289LX,Telephones and Communication,1205.4015,WEST,1856.51,2012,Qtr 4,December,20,Regular Air,7.69,California,95.99,1
Bethpage,1646,Eugene Brewer Knox,Small Business,0.06,Erin,Low,2010,Qtr 3,September,15,1,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,8.53,EAST,35.97,2010,Qtr 3,September,17,Regular Air,1.35,New York,3.29,1
Bethpage,1646,Eugene Brewer Knox,Small Business,0.1,Erin,Low,2013,Qtr 2,April,25,1,Office Supplies,Wrap Bag,OIC Thumb-Tacks,Rubber Bands,-1.72,EAST,1.32,2013,Qtr 2,April,27,Regular Air,0.7,New York,1.14,1
Bethpage,1820,Mary Wood,Consumer,0.06,Erin,Low,2011,Qtr 3,August,7,1,Office Supplies,Medium Box,Eldon Simplefile® Box Office®,Storage & Organization,-19.2608,EAST,74.95,2011,Qtr 3,August,9,Regular Air,6.27,New York,12.44,1
Bethpage,1820,Mary Wood,Consumer,0.1,Erin,Low,2013,Qtr 3,July,21,1,Technology,Small Pack,Accessory9,Telephones and Communication,90.10598399999999,EAST,175.11,2013,Qtr 3,July,22,Regular Air,3.3,New York,35.99,1
Beverly Hills,3209,Elsie Floyd,Corporate,0.03,William,Low,2010,Qtr 4,December,28,1,Technology,Small Pack,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-30.45,WEST,44.24,2010,Qtr 4,December,29,Express Air,4.62,California,4.98,1
Beverly Hills,3209,Elsie Floyd,Corporate,0.02,William,Low,2011,Qtr 1,February,22,1,Technology,Small Box,Microsoft Multimedia Keyboard,Computer Peripherals,112.78,WEST,383.44,2011,Qtr 1,February,24,Regular Air,4,California,30.97,1
Beverly Hills,3209,Elsie Floyd,Corporate,0.06,William,Low,2013,Qtr 3,August,27,1,Technology,Small Box,R280,Telephones and Communication,97.96888799999999,WEST,924.8,2013,Qtr 3,August,29,Regular Air,8.99,California,155.99,1
Beverly Hills,3235,Aaron Davies Bruce,Home Office,0.02,William,Low,2012,Qtr 1,February,2,1,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,1560.8627999999999,WEST,2262.12,2012,Qtr 1,February,2,Regular Air,11.54,California,194.3,1
Beverly Hills,3235,Aaron Davies Bruce,Home Office,0.01,William,Low,2012,Qtr 1,February,2,1,Furniture,Wrap Bag,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Office Furnishings,30.242699999999996,WEST,43.83,2012,Qtr 1,February,3,Regular Air,9.2,California,39.98,1
Beverly Hills,3235,Aaron Davies Bruce,Home Office,0.07,William,Low,2012,Qtr 1,February,2,1,Office Supplies,Small Box,Eldon Shelf Savers™ Cubes and Bins,Storage & Organization,-197.13,WEST,41.48,2012,Qtr 1,February,2,Regular Air,9.69,California,6.98,1
Beverly Hills,3235,Aaron Davies Bruce,Home Office,0.07,William,Low,2012,Qtr 1,February,2,1,Office Supplies,Small Box,Storex Dura Pro™ Binders,Binders and Binder Accessories,-169.165,WEST,42.34,2012,Qtr 1,February,4,Regular Air,9.92,California,5.94,1
Binghamton,394,Kristin Simpson,Corporate,0.02,Erin,Low,2012,Qtr 1,February,10,1,Office Supplies,Large Box,Hoover Portapower™ Portable Vacuum,Appliances,-1172.75,EAST,46.08,2012,Qtr 1,February,10,Regular Air,49,New York,4.48,1
Binghamton,394,Kristin Simpson,Corporate,0.01,Erin,Low,2013,Qtr 1,March,5,1,Technology,Small Box,6120,Telephones and Communication,350.361,EAST,512.96,2013,Qtr 1,March,5,Express Air,8.8,New York,65.99,1
Binghamton,394,Kristin Simpson,Corporate,0.09,Erin,Low,2013,Qtr 2,April,29,1,Office Supplies,Small Box,Kensington 6 Outlet Guardian Standard Surge Protector,Appliances,-29.77,EAST,40.13,2013,Qtr 2,May,1,Regular Air,6.32,New York,20.48,1
Bloomfield,737,Danny Vaughn,Consumer,0.02,Erin,Low,2010,Qtr 2,June,7,1,Office Supplies,Small Box,Xerox 1937,Paper,422.4525,EAST,612.25,2010,Qtr 2,June,14,Regular Air,5.79,New Jersey,48.04,1
Bloomfield,2320,Sheila Schultz,Small Business,0.1,Erin,Low,2012,Qtr 1,February,24,1,Technology,Small Box,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,227.67,EAST,679.63,2012,Qtr 1,February,25,Regular Air,19.99,New Jersey,99.99,1
Boca Raton,1267,Rosemary Branch,Corporate,0.01,Sam,Low,2010,Qtr 1,February,10,1,Technology,Medium Box,Sharp EL500L Fraction Calculator,Office Machines,533.742,SOUTH,29.85,2010,Qtr 1,February,11,Regular Air,7.51,Florida,13.99,1
