Customer Segment,Sum of Discount,Discount Adjusted Sales,Count of Employee ID,Year,Quarter,Month,Day,Notes,Sum of Order Date - Month,Sum of Order Date - Quarter,Sum of Order Date - Year,Count of Order DetailsNew.ID,Count of Order DetailsNew.Order ID,Count of Order ID,Year,Quarter,Month,Day,Payment Type,Count of Product ID,Product Rank,Profit Proxy,Sum of Quantity,Regional Performance Index,Ship Address,Ship City,Ship Country/Region,Ship Name,Ship State/Province,Ship ZIP/Postal Code,Year,Quarter,Month,Day,Count of Shipper ID,Sum of Shipping Fee,Count of Status ID,Sum of Tax Rate,Sum of Tax Status,Sum of Taxes,Total Sales,Sum of Unit Price,Count of Customer ID
Low,0,230,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Check,1,83,46,25,83,123 8th Street,Portland,USA,Elizabeth Andersen,OR,99999,2006,Qtr 2,April,5,1,USh50,1,0,,USh0,230,USh9.2,1
Low,0,230,1,2006,Qtr 2,June,7,,6,2,2006,1,1,1,2006,Qtr 2,June,7,Credit Card,1,83,46,5,83,789 28th Street,Memphis,USA,Amritansh Raghav,TN,99999,2006,Qtr 2,June,7,1,USh40,1,0,,USh0,230,USh46,1
Low,0,250,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,90.2,50,10,90.2,123 10th Street,Chicago,USA,Roland Wacker,IL,99999,2006,Qtr 2,April,7,1,USh0,1,0,,USh0,250,USh25,1
Low,0,270,1,2006,Qtr 1,January,22,,1,1,2006,1,1,1,2006,Qtr 1,January,22,Credit Card,1,97.4,54,15,97.4,123 12th Street,Las Vegas,USA,John Edwards,NV,99999,2006,Qtr 1,January,22,1,USh5,1,0,,USh0,270,USh18,1
Low,0,276,1,2006,Qtr 1,January,30,,1,1,2006,1,1,1,2006,Qtr 1,January,30,Credit Card,1,99.56,55.2,30,99.56,123 8th Street,Portland,USA,Elizabeth Andersen,OR,99999,2006,Qtr 1,January,31,1,USh50,1,0,,USh0,276,USh9.2,1
Low,0,280,1,2006,Qtr 2,April,22,,4,2,2006,1,1,1,2006,Qtr 2,April,22,Credit Card,1,101,56,40,101,123 4th Street,New York,USA,Christina Lee,NY,99999,2006,Qtr 2,April,22,1,USh5,1,0,,USh0,280,USh7,1
Low,0,289.5,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Credit Card,1,104.42,57.9,30,104.42,789 26th Street,Miami,USA,Run Liu,FL,99999,2006,Qtr 2,April,5,1,USh60,1,0,,USh0,289.5,USh9.65,1
Low,0,300,1,2006,Qtr 1,January,20,,1,1,2006,1,1,1,2006,Qtr 1,January,20,Credit Card,1,108.2,60,10,108.2,123 4th Street,New York,USA,Christina Lee,NY,99999,2006,Qtr 1,January,22,1,USh5,1,0,,USh0,300,USh30,1
Low,0,3240,1,2006,Qtr 2,April,22,,4,2,2006,1,1,1,2006,Qtr 2,April,22,Credit Card,1,1166.6,648,40,1166.6,123 4th Street,New York,USA,Christina Lee,NY,99999,2006,Qtr 2,April,22,1,USh5,1,0,,USh0,3240,USh81,1
Low,0,35,1,2006,Qtr 1,January,20,,1,1,2006,1,1,1,2006,Qtr 1,January,20,Credit Card,1,12.8,7,10,12.8,123 4th Street,New York,USA,Christina Lee,NY,99999,2006,Qtr 1,January,22,1,USh5,1,0,,USh0,35,USh3.5,1
Low,0,380,1,2006,Qtr 2,April,25,,4,2,2006,1,1,1,,,,,,1,137,76,10,137,123 4th Street,New York,USA,Christina Lee,NY,99999,,,,,,USh0,1,0,,USh0,380,USh38,1
Low,0,4200,1,2006,Qtr 2,April,8,,4,2,2006,1,1,1,2006,Qtr 2,April,8,Credit Card,1,1512.2,840,300,1512.2,123 6th Street,Milwaukee,USA,Francisco Pérez-Olaeta,WI,99999,2006,Qtr 2,April,8,1,USh300,1,0,,USh0,4200,USh14,1
Low,0,450,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,162.2,90,25,162.2,123 1st Street,Seattle,USA,Anna Bedecs,WA,99999,,,,,,USh0,1,0,,USh0,450,USh18,1
Low,0,482.5,1,2006,Qtr 2,April,7,,4,2,2006,1,1,1,2006,Qtr 2,April,7,Credit Card,1,173.9,96.5,50,173.9,789 28th Street,Memphis,USA,Amritansh Raghav,TN,99999,2006,Qtr 2,April,7,1,USh40,1,0,,USh0,482.5,USh9.65,1
Low,0,500,1,2006,Qtr 2,April,25,,4,2,2006,1,1,1,2006,Qtr 2,April,25,Cash,1,180.2,100,50,180.2,123 3rd Street,Los Angelas,USA,Thomas Axen,CA,99999,2006,Qtr 2,April,25,1,USh7,1,0,,USh0,500,USh10,1
Low,0,510,1,2006,Qtr 2,June,5,,6,2,2006,1,1,1,2006,Qtr 2,June,5,Check,1,183.8,102,40,183.8,123 8th Street,Portland,USA,Elizabeth Andersen,OR,99999,2006,Qtr 2,June,5,1,USh50,1,0,,USh0,510,USh12.75,1
Low,0,510,1,2006,Qtr 2,June,8,,6,2,2006,1,1,1,2006,Qtr 2,June,8,Credit Card,1,183.8,102,40,183.8,123 6th Street,Milwaukee,USA,Francisco Pérez-Olaeta,WI,99999,2006,Qtr 2,June,8,1,USh300,1,0,,USh0,510,USh12.75,1
Low,0,52.5,1,2006,Qtr 2,May,24,,5,2,2006,1,1,1,,,,,,1,19.1,10.5,15,19.1,123 10th Street,Chicago,USA,Roland Wacker,IL,99999,,,,,1,USh0,1,0,,USh0,52.5,USh3.5,1
Low,0,530,1,2006,Qtr 1,January,20,,1,1,2006,1,1,1,2006,Qtr 1,January,20,Credit Card,1,191,106,10,191,123 4th Street,New York,USA,Christina Lee,NY,99999,2006,Qtr 1,January,22,1,USh5,1,0,,USh0,530,USh53,1
Low,0,533.75,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Credit Card,1,192.35,106.75,25,192.35,789 26th Street,Miami,USA,Run Liu,FL,99999,2006,Qtr 2,April,5,1,USh60,1,0,,USh0,533.75,USh21.35,1
Low,0,552,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Credit Card,1,198.92,110.4,30,198.92,789 26th Street,Miami,USA,Run Liu,FL,99999,2006,Qtr 2,April,5,1,USh60,1,0,,USh0,552,USh18.4,1
Low,0,598,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,2006,Qtr 1,March,24,Credit Card,1,215.48,119.6,200,215.48,123 10th Street,Chicago,USA,Roland Wacker,IL,99999,2006,Qtr 1,March,24,1,USh9,1,0,,USh0,598,USh2.99,1
Low,0,660,1,2006,Qtr 2,June,5,,6,2,2006,1,1,1,2006,Qtr 2,June,5,Cash,1,237.8,132,30,237.8,789 25th Street,Chicago,USA,John Rodman,IL,99999,2006,Qtr 2,June,5,1,USh5,1,0,,USh0,660,USh22,1
Low,0,680,1,2006,Qtr 1,March,6,,3,1,2006,1,1,1,2006,Qtr 1,March,6,Credit Card,1,245,136,17,245,123 6th Street,Milwaukee,USA,Francisco Pérez-Olaeta,WI,99999,2006,Qtr 1,March,9,1,USh12,1,0,,USh0,680,USh40,1
Low,0,70,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,25.4,14,20,25.4,123 11th Street,Miami,USA,Peter Krschne,FL,99999,,,,,1,USh0,1,0,,USh0,70,USh3.5,1
Low,0,736,1,2006,Qtr 2,May,24,,5,2,2006,1,1,1,,,,,,1,265.16,147.2,40,265.16,123 1st Street,Seattle,USA,Anna Bedecs,WA,99999,,,,,1,USh0,1,0,,USh0,736,USh18.4,1
Low,0,74.75,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,27.11,14.95,25,27.11,123 1st Street,Seattle,USA,Anna Bedecs,WA,99999,,,,,,USh0,1,0,,USh0,74.75,USh2.99,1
Low,0,800,1,2006,Qtr 2,May,24,,5,2,2006,1,1,1,,,,,,1,288.2,160,20,288.2,123 11th Street,Miami,USA,Peter Krschne,FL,99999,,,,,1,USh0,1,0,,USh0,800,USh40,1
Low,0,900,1,2006,Qtr 2,June,23,,6,2,2006,1,1,1,2006,Qtr 2,June,23,Check,1,324.2,180,30,324.2,123 6th Street,Milwaukee,USA,Francisco Pérez-Olaeta,WI,99999,2006,Qtr 2,June,23,1,USh0,1,0,,USh0,900,USh30,1
Low,0,92,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,33.32,18.4,10,33.32,123 10th Street,Chicago,USA,Roland Wacker,IL,99999,2006,Qtr 2,April,7,1,USh0,1,0,,USh0,92,USh9.2,1
Low,0,920,1,2006,Qtr 1,January,22,,1,1,2006,1,1,1,2006,Qtr 1,January,22,Credit Card,1,331.4,184,20,331.4,123 12th Street,Las Vegas,USA,John Edwards,NV,99999,2006,Qtr 1,January,22,1,USh5,1,0,,USh0,920,USh46,1
Low,0,920,1,2006,Qtr 2,April,7,,4,2,2006,1,1,1,2006,Qtr 2,April,7,Credit Card,1,331.4,184,50,331.4,789 28th Street,Memphis,USA,Amritansh Raghav,TN,99999,2006,Qtr 2,April,7,1,USh40,1,0,,USh0,920,USh18.4,1
Low,0,96.5,1,2006,Qtr 2,June,5,,6,2,2006,1,1,1,2006,Qtr 2,June,5,Check,1,34.94,19.3,10,34.94,123 9th Street,Salt Lake City,USA,Sven Mortensen,UT,99999,2006,Qtr 2,June,5,1,USh100,1,0,,USh0,96.5,USh9.65,1
